"For The First N Items","For The First N Items"
"For Each N Items","For Each N Items"
"Only One Of","Only One Of"
"Every","Every"
"Promo Offer","Promo Offer"
"Add Free Product to Cart by Aheadworks","Add Free Product to Cart by Aheadworks"
"Aheadworks Extensions","Aheadworks Extensions"
"General Settings","General Settings"
"Default Title Of Popup","Default Title Of Popup"
"Will be displayed if a customer is eligible for several promo offers at a time","Will be displayed if a customer is eligible for several promo offers at a time"
"Rules","Rules"
"ID","ID"
"Title","Title"
"Scenario","Scenario"
"Status","Status"
"From","From"
"To","To"
"Web Site","Web Site"
"Priority","Priority"
"Add New Rule","Add New Rule"
"Edit","Edit"
"Delete","Delete"
"Disabled","Disabled"
"Enabled","Enabled"
"Delete item","Delete item"
"Are you sure you want to delete selected item?","Are you sure you want to delete selected item?"
"Buy X Get Y","Buy X Get Y"
"Coupon","Coupon"
"Rule deleted successfully.","Rule deleted successfully."
"Something went wrong while deleting the rule.","Something went wrong while deleting the rule."
"This rule no longer exists.","This rule no longer exists."
"Edit "%1" rule","Edit "%1" rule"
"New Rule","New Rule"
"Enable","Enable"
"Disable","Disable"
"Active From","Active From"
"Active To","Active To"
"Website","Website"
"Rule Priority","Rule Priority"
"Discard Subsequent Rules","Discard Subsequent Rules"
"Back","Back"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Reset","Reset"
"Save","Save"
"Save and Continue Edit","Save and Continue Edit"
"Rule saved successfully","Rule saved successfully"
"Something went wrong while saving the rule","Something went wrong while saving the rule"
"Delete rules","Delete rules"
"Are you sure you want to delete selected rules?","Are you sure you want to delete selected rules?"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"No records have been deleted.","No records have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"No records have been updated.","No records have been updated."
"Rule Settings","Rule Settings"
"Select Products","Select Products"
"Cancel","Cancel"
"Add Selected Products","Add Selected Products"
"Offer","Offer"
"of the products below","of the products below"
"Select Products","Select Products"
"% Off discount:","% Off discount:"
"Thumbnail","Thumbnail"
"Name","Name"
"Attribute Set","Attribute Set"
"Status","Status"
"Type","Type"
"SKU","SKU"
"Price","Price"
"Quantity",Quantity
"Customer Groups","Customer Groups"
"Rule name is required.","Rule name is required."
"Please specify a website.","Please specify a website."
"Please specify Customer Groups.","Please specify Customer Groups."
"Rule priority is required.","Rule priority is required."
"Discount amount is required.","Discount amount is required."
"Discount must not be less than 0 or greater than 100.","Discount must not be less than 0 or greater than 100."
"Please select promo products to offer.","Please select promo products to offer."
"Show Popup","Show Popup"
"Auto-add promo product to cart, if possible","Auto-add promo product to cart, if possible"
"Popup Settings","Popup Settings"
"Applies to a single promo product of simple type and without options. For other product types and quantities popup will always be displayed","Applies to a single promo product of simple type and without options. For other product types and quantities popup will always be displayed"
"Text in the Popup Header","Text in the Popup Header"
"Your special offer","Your special offer"
"How to offer promo products","How to offer promo products"
"First time","First time"
"Every time","Every time"
"Every Nth time","Every Nth time"
"when criteria below are met","when criteria below are met"
"You added promo product(s) to your shopping cart.","You added promo product(s) to your shopping cart."
"We can't add this promo product(s) to your shopping cart right now.","We can't add this promo product(s) to your shopping cart right now."
"Count of products to offer must be less than number of selected promo products.","Count of products to offer must be less than number of selected promo products."
"Visible for admin only. For frontend description see the options in "Promo" section","Visible for admin only. For frontend description see the options in "Promo" section"
"Zero is a top priority","Zero is a top priority"
"Where N equals","Where N equals"
"Promo Settings","Promo Settings"
"Promo Text","Promo Text"
"Product Label","Product Label"
"Large Text On The Promo Label","Large Text On The Promo Label"
"Medium Text On The Promo Label","Medium Text On The Promo Label"
"Small Text On The Promo Label","Small Text On The Promo Label"
"Image","Image"
"Browse to find or drag image here","Browse to find or drag image here"
"Header","Header"
"The text next to product price","The text next to product price"
"Header of promotional popup","Header of promotional popup"
"Description","Description"
"Description should optimally be between 100-120 characters","Description should optimally be between 100-120 characters"
"URL","URL"
"Absolute or relative paths are allowed","Absolute or relative paths are allowed"
"URL Text","URL Text"
"""Find out more"" text","""Find out more"" text"
"Image Alt","Image Alt"
"We can't rebuild the index for an undefined entity.","We can't rebuild the index for an undefined entity."
"Bad value was supplied.","Bad value was supplied."
"Don't Use","Don't Use"
"Your special offer","Your special offer"
"No items selected.","No items selected."
"Some product configurations may not be available in required quantity.","Some product configurations may not be available in required quantity."
"When a user entered this coupon code:","When a user entered this coupon code:"
"And criteria below are met:","And criteria below are met:"
"% Off discount","% Off discount"
"Coupon code must not be empty.","Coupon code must not be empty."
"Coupon with the same code already exists.","Coupon with the same code already exists."
"This coupon has been auto-created by Add Free Product To Cart extension (%1).Do not modify it's conditions and actions.","This coupon has been auto-created by Add Free Product To Cart extension (%1).Do not modify it's conditions and actions."
"Free","Free"
"%1% off","%1% off"
"1 is free","1 is free"
"1 is %1% off","1 is %1% off"
"%1 are free","%1 are free"
"%1 are %2% off","%1 are %2% off"
"Items have different discounts","Items have different discounts"
"Configuration","Configuration"
"Configure","Configure"
"Can not reconfigure promo product this way. Please delete the product from the cart, click a gift icon and choose a new one.","Can not reconfigure promo product this way. Please delete the product from the cart, click a gift icon and choose a new one."
"Please specify promo product(s).","Please specify promo product(s)."
"Offer Only Those Products Which Are In Stock","Offer Only Those Products Which Are In Stock"
"Selected {param1} of {param2}","Selected {param1} of {param2}"
"Hide options of configurable products","Hide options of configurable products"
"View Details","View Details"
"Subtotal (incl. promo products)","Subtotal (incl. promo products)"
"Subtotal (excl. promo products)","Subtotal (excl. promo products)"
"Promotional Campaigns Performance (Last 30 days)","Promotional Campaigns Performance (Last 30 days)"
"Active Promo Campaigns","Active Promo Campaigns"
"Total Sales","Total Sales"
"{n} of all sales","{n} of all sales"
"Orders","Orders"
"{n} of all orders","{n} of all orders"
"Average Cart Total","Average Cart Total"
"Promo Items Per Order","Promo Items Per Order"
"Promo Discount (%1)","Promo Discount (%1)"
"Remove","Remove"
"Add Products","Add Products"
"Visible for admin only. For frontend description see the options in ""Promo"" section","Visible for admin only. For frontend description see the options in ""Promo"" section"
"Edit","Edit"
"Delete","Delete"
"Don't show this again","Don't show this again"
"You used coupon code","You used coupon code"
"Discount","Discount"
"Promo Discount","Promo Discount"
"Spend X Get Y","Spend X Get Y"
"Where to Display Promo Popup","Where to Display Promo Popup"
"As soon as cart content matches a rule","As soon as cart content matches a rule"
"On a cart and checkout pages only","On a cart and checkout pages only"
"Validate subtotal","Validate subtotal"
"Excluding Tax","Excluding Tax"
"Including Tax","Including Tax"
"Fixed Price","Fixed Price"
"of","of"
"WITH A PERCENT DISCOUNT","WITH A PERCENT DISCOUNT"
"FOR A FIXED AMOUNT","FOR A FIXED AMOUNT"
"Product with SKU = %1 has less or equal price than defined fixed amount.","Product with SKU = %1 has less or equal price than defined fixed amount."
"Discount must not be less than 0.","Discount must not be less than 0."
